职位名称,详细链接,工作地点,薪资,公司名称,经验要求,学历,福利,职位信息
Golang开发工程师,https://www.lagou.com/jobs/6492888.html,长宁区,10k-15k,上海域乎信息技术有限公司,1-3年,本科,地铁周边、节假日福利、每周零食,岗位职责：1、参与产品原型评审，根据原型及前端的接口需求，设计并实现的服务端接口API；2、负责服务端模块的架构设计、评审和开发；3、根据业务需求提升系统系能，保障系统稳定。任职要求：1、本科及以上学历，计算机及软件工程相关专业；2、1年以上Golang语言开发经验，了解beego，gin等后端开源框架，能够0到1搭建完整的后端项目架构；3、熟练使用Docker容器，有独立负责过云原生应用项目实际开发经验者优先；4、有NodeJS或Python大型项目开发经验者优先；5、精通使用至少一种关系数据库，能够独立完成大型项目的数据库设计及性能优化；6、精通使用至少一种NoSQL或内存数据库，并在实际项目中有大量应用；7、熟练使用至少一种数据队列，并在实际项目中有应用。
golang开发工程师,https://www.lagou.com/jobs/6099536.html,长宁区,15k-30k,秒针信息技术有限公司,3-5年,本科,福利待遇 发展前景,工作内容：负责推荐系统核心服务的架构设计和开发 任职要求：1. 计算机相关专业大学本科及以上学历2. 有三年或以上开发经验，至少1年Golang开发经验3.熟悉互联网产品架构，有大型分布式、高并发、高负载、高可用性系统设计开发经验者优先；4.有技术热情和较强的学习能力，对于新技术有浓烈的好奇心，有很好的问题分析和技术攻关能力，具有良好的团队合作能力、沟通能力、抗压能力；
高级go开发工程师(J10474),https://www.lagou.com/jobs/6311728.html,长宁区,20k-30k,秒针信息技术有限公司,3-5年,不限,福利待遇 发展前景,
Golang物联网平台工程师(J10560),https://www.lagou.com/jobs/6274926.html,长宁区,15k-25k,秒针信息技术有限公司,3-5年,本科,爱心假期、带薪年假、带薪病假、弹性工作,
高级golang游戏服务器开发工程师,https://www.lagou.com/jobs/6487934.html,静安区,18k-25k,西安启虹软件科技有限公司上海分公司,3-5年,本科,五险一金;团建旅游,岗位职责：1. 负责游戏服务器端应用逻辑和各功能模块的实现和测试； 2. 与策划、美术以及客户端密切配合，保证产品的高效开发与质量； 3. 负责服务器性能的调试和优化； 4. 负责游戏辅助工具的开发。任职要求：1、三年以上游戏服务器开发经验2、熟练掌握golang/c/c/java++至少一种语言（一年以上的Golang开发经验优先）； 3、具备良好的基本功，熟练使用基本的数据结构和算法，深入理解多线程、Socket等相关技术； 4、具备良好的编码习惯，结构清晰，命名规范，逻辑性强，代码冗余率低； 5、熟练掌握Golang常用框架，深入了解框架提供的特性及其实现原理细节； 6、熟练掌握MySQL数据库，具备MySQL索引优化、查询优化的能力；7、具有一年以上Linux系统编程经验和网络编程经验，熟悉基本的Linux操作8、本科及以上学历，计算机及相关专业优先考虑
Go/PHP开发工程师,https://www.lagou.com/jobs/5978075.html,浦东新区,25k-45k,上海基分文化传播有限公司,5-10年,本科,绩效奖金，福利完善,【工作职责】：设计，开发，维护趣头条后端核心线上服务【职位要求】：本科以上学历，具有3年及以上互联网服务端开发工作经验；熟练掌握Golang/PHP语言编程，计算机体系架构基础知识过硬，要求具备一定的算法、数据结构知识；熟练掌握MySql、Redis、kafka 或者 RabbitMQ等开源中间件；具备高可用、高并发分布式系统开发设计经验优先；特别强调自驱，责任心，适应能力，抗压能力，团队精神；只要学习能力强，欢迎其他语言转go；大厂背景，985/211加分
Go开发工程师,https://www.lagou.com/jobs/5977098.html,浦东新区,15k-30k,达而观信息科技（上海）有限公司,3-5年,本科,核心系统 人工智能 专业培训 前沿技术,参与RPA核心系统平台（Studio、任务调度系统和软件机器人）的设计和开发；岗位要求：1、 本科及以上学历，熟悉Node JS、GO、Python、C++至少一种语言；2、熟悉Linux或Windows编程；3、熟悉计算机基础算法优先；4、对新技术敏感，求知欲强，能快速学习并具备较强的技术领悟能力。RPA（Robotic Process Automation），机器人流程自动化，又可以称为虚拟劳动力或数字化劳动力，是一种智能化软件平台，通过模拟并增强人类与计算机的交互过程，实现工作流程中的自动化。达观智能RPA平台融合自有的OCR和NLP技术，可迅速实现业务提效，将重复性劳动进行自动化处理，高效低门槛连接不同业务系统，让财务、税务、金融、人力资源、信息技术、保险、客服、运营商、制造等行业在业务流程上实现自动化智能升级。
Go开发工程师,https://www.lagou.com/jobs/6302263.html,青浦区,15k-30k,上海银科创展投资集团有限公司,3-5年,本科,上市公司 福利好 六险一金 扁平化,"职位描述：1.负责行情,交易系统的研发，重构以及系统不断优化；2.使用Go，C++ 等编程语言进行服务研发或客户端研发；3.研发涉及证券期货行情等方面的应用程序；4.了解业界最新动向，不断学习最新开发技术并应用于公司各项目的实施与升级；5.完成上级交办的其他工作。任职要求：1.全日制本科及以上学历，计算机、电子、软件、通讯相关专业；2.理解OO思想(OOA/OOD/OOP),并能熟练运用在项目实施中; 3.熟练掌握Go，C++语言，并有相关项目开发经验（Linux环境下），能够独立完成项目需求分析、设计及实现各阶段工作 ；4.熟练掌握关系型数据mysql相关编程；掌握和理解kv缓存库的编程使用，如reids，memcash等5.熟练掌握代码管理工具使用，如gitlab等；6.开源社区贡献过，或者有自己的开源项目优先（go或者c++语言）7.具备大并发访问，网络相关工程项目经验的优先8.有证券、期货行业开发项目经验的优先9.有Windows下VC、MFC开发项目经验的优先。"
golang后端,https://www.lagou.com/jobs/6160055.html,黄浦区,20k-40k,简阳联盟凯睿企业管理有限公司,3-5年,本科,发展前景，大牛多，弹性工作，福利待遇好,"主要职责：1、理解产品需求，协同团队成员完成后端项目研发任务；2、保证服务的可用性，稳定性，并不断优化服务性能。职位必备项：跳槽频繁跳槽频繁,二年一跳不考虑年龄超限年龄超过32岁不考虑专业选择必须计算机科学与技术类相关专业最低学历必须统招本科以上学历其他项3年golang，有知名公司背景；有较强的问题分析和解决能力，热衷技术，精益求精 熟练掌握常用的算法和数据结构 熟练使用关系数据库 MySQL 以及常见的缓存服务 Redis，消息队列组件 Kafka 等 有高负载，高并发开发设计经验"
Golang研发,https://www.lagou.com/jobs/6033321.html,浦东新区,25k-50k,上海基分文化传播有限公司,3-5年,本科,薪资待遇好，全年基本上15薪以上。,"- 至少3年c++/java/php/golang的开发经验。 - 熟练使用Linux/Mac开发环境，熟悉基于Git的团队合作开发模式。 - 对工作认真负责、能主动驱动自己。 - 对代码质量有追求、有网络高并发开发经验优先。 以下几个方面有符合的，会优先考虑： - 有电商搜索、推荐系统等相关领域的算法研发工作经验者 - 有大型网站或app后台架构和开发经验者 - 对网络安全，系统安全有较深入研究者 - 对数据库(mysql,redis,mongo等)以及各种中间件有较深入研究者 - 有电商风控、防作弊系统开发经验者优先"
golang后端,https://www.lagou.com/jobs/6359987.html,杨浦区,15k-30k,上海炫石文化传媒有限公司,3-5年,不限,"做五休二,在家办公，10+年假,健身津贴","任职要求：
 计算机或相关专业本科及本科以上学历，1~3年开发经验；
 拥有扎实的计算机科学基础知识，熟悉至少一门高级语言，具有良好的编码习惯；
 有互联网应用开发经验者优先，有电商、平台类产品经验更佳
 具有较好的沟通、学习及抗压能力。
加分项：
 有Go语言经验者优先；
 有分布式架构设计经验优先；
 熟悉Docker、Kubernetes、Kafka、Zookeeper、Nginx中的一项或数项者优先。"
go开发工程师,https://www.lagou.com/jobs/5824214.html,黄浦区,15k-30k,简阳联盟凯睿企业管理有限公司,3-5年,本科,发展空间大，紧急度高、属于公司核心岗位,主要职责： 1、采用Go语言(Golang)开发高可用、 高并发的后端组件、服务； 2、保证系统的效率和可靠性以及代码质量和可维护性； 3、维护优化后台微服务； 4、参与后台系统设计； 任职要求：一年以上Golang开发工作经验程序设计基本功扎实，熟悉Git版本管理系统；能快速阅读英文论文及相关资料，能快速学习掌握新技术；
高级golang,https://www.lagou.com/jobs/6038418.html,浦东新区,15k-25k,北京泛为信息科技有限公司,1-3年,本科,团队氛围好 六险一金,"岗位职责：1. 负责项目后端系统的研发和维护工作；2、分析业务需求，撰写技术方案和系统设计； 3、对现有系统进行改进和优化。 岗位要求：1. 本科及以上学历，计算机相关专业；3年以上Golang开发工作经验；2. 熟悉分布式系统，熟练掌握一种以上服务框架和消息中间件，了解其实现原理。3. 熟悉 MySql、Redis、MongoDB等数据库，熟悉常用数据结构和算法优先；4. 有大型项目开发经验，系统调优经验者优先, 有高并发分布式系统开发经验优先;5. 有较强的团队合作精神，责任感强，主动性强."
golang开发工程师,https://www.lagou.com/jobs/6259580.html,浦东新区,10k-15k,北京泛为信息科技有限公司,1年以下,本科,团队氛围好 六险一金,"职位描述：  岗位职责：   1. 负责项目后端系统的研发和维护工作；   2、分析业务需求，撰写技术方案和系统设计；    3、对现有系统进行改进和优化。    岗位要求：   1. 985，211本科及以上学历，计算机相关专业；1年以上Golang开发工作经验；   2. 熟悉分布式系统，熟练掌握一种以上服务框架和消息中间件，了解其实现原理。   3. 熟悉 MySql、Redis、MongoDB等数据库，熟悉常用数据结构和算法优先；   4. 有大型项目开发经验，系统调优经验者优先, 有高并发分布式系统开发经验优先;   5. 有较强的团队合作精神，责任感强，主动性强."
GO/GOlang开发,https://www.lagou.com/jobs/6477600.html,浦东新区,20k-40k,福州络戴洪文化传播有限公司,5-10年,大专,弹性工作，饭贴，生日会，旅游，年底奖金,工作职责：1、负责手游戏服务器业务的实现、扩展、性能优化、质量把控，以及研发和运营过程中的日常维护；2、负责把控后端研发工作，撰写技术文档，使后端团队协调工作；3、协助客户端业务，后台业务（oss）的研发工作；4、相关数据库的维护和管理；5、负责与策划沟通设计需求并制定可行实现方案；6、配合测试完成功能验收，及时主动排除产品bug。 工作要求：1、计算机、数学等理工类专业，全日制本科及以上学历；2、5年及以上的手机游戏服务端开发经验，有规范的编程风格和良好文档习惯；3、精通go编程语言，精通数据结构与算法；4、熟悉各种网络协议及对应编程，熟悉mysql、redis，Linux开发环境；5、有良好的语言沟通能力、团队合作能力、抗压能力；6、额外熟悉c++，java，python，php等语言2门以上者优先；7、 有go语言开发上线产品经历者优先；8、211类及以上大学毕业生优先。
Go开发工程师,https://www.lagou.com/jobs/5102389.html,浦东新区,20k-40k,上海倾听信息技术有限公司,3-5年,本科,"年轻化,氛围好",岗位职责：1、负责蜻蜓广告系统的后端开发和维护，保证需求正常推进，保证系统高质量运行；2、持续优化系统的设计和实现，撰写技术文档，保证服务的可维护性；3、能够及时解决突发问题，为运营人员提供必要的帮助。岗位要求：1、计算机相关专业本科及以上学历。2、三年以上后台开发经验。3、熟练掌握Go语言。4、熟悉Linux操作系统，熟悉mysql或mongo等数据库应用。5、有强烈的团队意识，能与其他成员高效沟通协作。6、富有激情，勇于挑战，具备优秀的学习能力和解决问题能力。
Golang开发工程师,https://www.lagou.com/jobs/6174461.html,虹口区,25k-45k,上海高顿教育培训有限公司,3-5年,不限,互联网教育平台 平台大 加班少,岗位职责：承担学习平台后端 Restful API 与实时消息系统开发工作。岗位要求：1. 本科及以上学历，2年以上相关开发经验；2. 良好的事件驱动、异步、分布式程序设计能力；3. 熟悉常见的并发错误及修复方法，熟悉并发程序性能优化方法；4. 熟悉缓存和数据库，如 Redis、MySQL、LevelDB 等；5. 良好的代码习惯，流利书写英文开发文档。
Go工程师,https://www.lagou.com/jobs/6033426.html,浦东新区,16k-32k,上海高仙自动化科技发展有限公司,3-5年,不限,"技术大神,全面的培养,上升与挑战",1、负责图像处理服务的开发和维护工作；  2、针对问题代码进行重构，改善代码质量；3、完成所负责模块的代码编写、单元测试、Bug修复工作； 4、协助产品的持续迭代工作； 5、探索新技术，选择出适合业务模型的技术方案。 任职要求： 1、本科及以上学历，计算机相关专业，三年及以上工作经验；2、熟练掌握至少两种静态类型语言（JAVA、C/CPP、GOLANG）；3、熟练掌握设计模式、数据结构、算法、网络协议；4、熟练掌握vm性能调优和dump分析；5、熟练掌握其中之一(beego、buffalo、kratos)；6、熟练掌握其中之一(spring-cloud、play、grails) ；7、熟练掌握MQ、RPC、缓存、RDBMS、NOSQL数据库；8、有tdd，scrum，dry等开发思维。加分项：1、能进行 Rust，Scala，Clojure，Kotlin，Dart，Ruby，Elang，Lua，Groovy，Elixir 开发 2、给大型开源项目贡献过代码 3、具备 TDD/BDD 实战经验 4、具备设计SASS API 接口的实战经验 。
GO开发,https://www.lagou.com/jobs/6441946.html,浦东新区,15k-30k,上海昌投网络科技有限公司,1-3年,不限,对技术有激情，喜欢钻研,"岗位职责：1、负责公司创新项目，紧急需求，活动需求等的代码开发；2、负责所属模块的功能规划、需求分析设计、技术实现和用户体验提升；3、不断推动孵化更多的行业的产品；4、协助并完成其他各类技术开发任务；任职资格：1、熟悉GO、Python、php至少一种语言,熟练掌握1-2门其他语言优先；2、有较强的找轮子的能力，开源贡献者优先，github源码者优先，敏捷开发经验优先；3、良好的问题理解能力，对技术有激情，喜欢钻研；"
GO开发工程师,https://www.lagou.com/jobs/5230561.html,徐汇区,20k-40k,上海浅驰电子商务有限公司,3-5年,本科,"发展前景大,带薪年假,股票期权,节日福利","岗位职责：1、负责IM项目后台核心模块(HTTP API Server)代码编写和维护2、根据产品需求，进行系统优化处理；岗位需求：1、3年以上C++, golang等后端语言开发经验；2、熟悉HTTP协议，具有HTTP API Server实际开发经验，具有openshift/Kubernetes/Docker/golang相关经验；3、精通数据库技术，具有数据库设计与性能优化的经验；4、熟悉Redis,Mysql，并有相关的开发经验；6、对高并发的HTTP,TCP服务开发具有一定的开发及优化经验； 7、具有实际的系统架构经验，开发并主导过高并发的互联网项目更佳"
golang开发工程师,https://www.lagou.com/jobs/6436591.html,徐汇区,20k-30k,上海小讯鸽网络科技有限公司,5-10年,本科,发展前景,岗位职责：1.5年以上年开发经验，两年Golang开发经验。2.具备良好的基本功，熟练使用基本的数据结构和算法，深入理解多线程、socket等相关技术；3.具备良好的编码习惯，结构清晰，命名规范，逻辑性强，代码冗余率低；4.熟练掌握Golang常用框架，深入了解框架提供的特性及其实现原理细节。5.熟悉高并发，高性能的分布式系统设计及优化。6.熟悉消息队列，缓存机制以及mysql数据库。7.开源社区贡献者优先。8.大学本科学历。
